panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,0,_child0,0,1,0.7780109643936157
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,0,_child0,1,2,0.6005111932754517
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,0,_child0,2,3,0.8935463428497314
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,0,_child0,3,4,0.7634501457214355
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,0,_child0,4,5,0.840270459651947
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,1,_child1,0,1,0.8566295504570007
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,1,_child1,1,2,0.7612111568450928
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,1,_child1,2,3,0.8502715229988098
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,1,_child1,3,4,0.8047418594360352
0,Cosine self{-}consistency (no stance),Debate turn,Pub vs OTR cosine similarity,rectilinear,line,1,_child1,4,5,0.6810758113861084
