panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,x,y,width,height
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,0,_nolegend_,0.7,0.0,0.6000000000000001,0.6272825002670288
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,1,_nolegend_,1.7,0.0,0.6000000000000001,0.13982724584639072
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,2,_nolegend_,2.7,0.0,0.6000000000000001,0.42603133153170347
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,3,_nolegend_,3.7,0.0,0.6000000000000001,0.003178636252414435
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,4,_nolegend_,4.7,0.0,0.6000000000000001,0.893467366695404
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,5,_nolegend_,0.7,0.6272825002670288,0.6000000000000001,0.29878196120262146
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,6,_nolegend_,1.7,0.13982724584639072,0.6000000000000001,0.8561711609363556
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,7,_nolegend_,2.7,0.42603133153170347,0.6000000000000001,0.5723246186971664
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,8,_nolegend_,3.7,0.003178636252414435,0.6000000000000001,0.9962991178035736
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,9,_nolegend_,4.7,0.893467366695404,0.6000000000000001,0.10595021024346352
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,10,_nolegend_,0.7,0.9260644614696503,0.6000000000000001,0.07393556597526185
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,11,_nolegend_,1.7,0.9959984067827463,0.6000000000000001,0.004001634195446968
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,12,_nolegend_,2.7,0.9983559502288699,0.6000000000000001,0.0016440239269286394
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,13,_nolegend_,3.7,0.999477754055988,0.6000000000000001,0.0005222517065703869
0,NLI self{-}consistency --- policy director (no stance),Debate turn,probability,rectilinear,patch,14,_nolegend_,4.7,0.9994175769388676,0.6000000000000001,0.0005823616374982521
