panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,x,y,width,height
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,0,_nolegend_,0.7,0.0,0.6000000000000001,0.47025367990136147
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,1,_nolegend_,1.7,0.0,0.6000000000000001,0.00859811541158706
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,2,_nolegend_,2.7,0.0,0.6000000000000001,0.598844438791275
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,3,_nolegend_,3.7,0.0,0.6000000000000001,0.14729892514878884
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,4,_nolegend_,4.7,0.0,0.6000000000000001,0.4341030200012028
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,5,_nolegend_,0.7,0.47025367990136147,0.6000000000000001,0.5285056345164776
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,6,_nolegend_,1.7,0.00859811541158706,0.6000000000000001,0.4929365748539567
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,7,_nolegend_,2.7,0.598844438791275,0.6000000000000001,0.4000507742166519
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,8,_nolegend_,3.7,0.14729892514878884,0.6000000000000001,0.8306849598884583
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,9,_nolegend_,4.7,0.4341030200012028,0.6000000000000001,0.5656261369585991
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,10,_nolegend_,0.7,0.998759314417839,0.6000000000000001,0.0012407374451868236
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,11,_nolegend_,1.7,0.5015346902655438,0.6000000000000001,0.498465281794779
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,12,_nolegend_,2.7,0.9988952130079269,0.6000000000000001,0.0011047474399674684
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,13,_nolegend_,3.7,0.9779838850372471,0.6000000000000001,0.022016124275978655
0,Public vs. OTR NLI distributions by model{-}consistency --- coalition chair (no stance),Debate turn,Mean public/OTR label proportion,rectilinear,patch,14,_nolegend_,4.7,0.9997291569598019,0.6000000000000001,0.00027078134735347703
