panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,row,col,value
0,Decision stance (no stance),Debate turn,,rectilinear,line,0,_child1,0.0,0.0,0.5,,,
0,Decision stance (no stance),Debate turn,,rectilinear,line,0,_child1,1.0,1.0,0.5,,,
0,Decision stance (no stance),Debate turn,,rectilinear,line,1,_child2,0.0,0.0,2.5,,,
0,Decision stance (no stance),Debate turn,,rectilinear,line,1,_child2,1.0,1.0,2.5,,,
0,Decision stance (no stance),Debate turn,,rectilinear,line,2,_child3,0.0,0.0,1.5,,,
0,Decision stance (no stance),Debate turn,,rectilinear,line,2,_child3,1.0,1.0,1.5,,,
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,0.0,0.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,0.0,1.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,0.0,2.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,0.0,3.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,0.0,4.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,1.0,0.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,1.0,1.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,1.0,2.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,1.0,3.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,1.0,4.0,1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,2.0,0.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,2.0,1.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,2.0,2.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,2.0,3.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,2.0,4.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,3.0,0.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,3.0,1.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,3.0,2.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,3.0,3.0,-1.0
0,Decision stance (no stance),Debate turn,,rectilinear,image,0,_child0,,,,3.0,4.0,-1.0
