panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,width,height
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,line,0,_child70,0.0,0.0,0.0,,
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,line,0,_child70,1.0,1.0,0.0,,
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,0,_nolegend_,,0.7,0.0,0.6000000000000001,0.004913301672786474
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,1,_nolegend_,,1.7,0.0,0.6000000000000001,0.003469059243798256
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,2,_nolegend_,,2.7,0.0,0.6000000000000001,0.0019940678030252457
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,3,_nolegend_,,3.7,0.0,0.6000000000000001,0.001699912711046636
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,4,_nolegend_,,4.7,0.0,0.6000000000000001,0.0018792651826515794
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,5,_nolegend_,,0.7,0.004913301672786474,0.6000000000000001,0.0015876241959631443
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,6,_nolegend_,,1.7,0.003469059243798256,0.6000000000000001,0.000608979316893965
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,7,_nolegend_,,2.7,0.0019940678030252457,0.6000000000000001,0.000379370670998469
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,8,_nolegend_,,3.7,0.001699912711046636,0.6000000000000001,0.00031705322908237576
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,9,_nolegend_,,4.7,0.0018792651826515794,0.6000000000000001,0.0005200054729357362
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,10,_nolegend_,,0.7,0.0065009258687496185,0.6000000000000001,0.022911312058568
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,11,_nolegend_,,1.7,0.004078038560692221,0.6000000000000001,0.006651423871517181
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,12,_nolegend_,,2.7,0.0023734384740237147,0.6000000000000001,0.0042302655056118965
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,13,_nolegend_,,3.7,0.002016965940129012,0.6000000000000001,0.004332277458161116
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,14,_nolegend_,,4.7,0.0023992706555873156,0.6000000000000001,0.0027464015875011683
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,15,_nolegend_,,0.7,0.02941223792731762,0.6000000000000001,0.0033015499357134104
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,16,_nolegend_,,1.7,0.010729462432209402,0.6000000000000001,0.001113869366236031
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,17,_nolegend_,,2.7,0.006603703979635611,0.6000000000000001,0.000912614690605551
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,18,_nolegend_,,3.7,0.0063492433982901275,0.6000000000000001,0.0008287348900921643
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,19,_nolegend_,,4.7,0.005145672243088484,0.6000000000000001,0.0003309565072413534
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,20,_nolegend_,,0.7,0.03271378786303103,0.6000000000000001,0.9614897966384888
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,21,_nolegend_,,1.7,0.011843331798445433,0.6000000000000001,0.9843855500221252
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,22,_nolegend_,,2.7,0.007516318670241162,0.6000000000000001,0.9905012845993042
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,23,_nolegend_,,3.7,0.007177978288382292,0.6000000000000001,0.9907101988792419
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,24,_nolegend_,,4.7,0.005476628750329837,0.6000000000000001,0.9929520487785339
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,25,_nolegend_,,0.7,0.9942035845015198,0.6000000000000001,0.0029355313163250685
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,26,_nolegend_,,1.7,0.9962288818205707,0.6000000000000001,0.0026575925294309855
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,27,_nolegend_,,2.7,0.9980176032695454,0.6000000000000001,0.0010999582009389997
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,28,_nolegend_,,3.7,0.9978881771676242,0.6000000000000001,0.0012166975066065788
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,29,_nolegend_,,4.7,0.9984286775288638,0.6000000000000001,0.0007762333261780441
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,30,_nolegend_,,0.7,0.9971391158178449,0.6000000000000001,0.002860864857211709
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,31,_nolegend_,,1.7,0.9988864743500017,0.6000000000000001,0.0011135432869195938
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,32,_nolegend_,,2.7,0.9991175614704844,0.6000000000000001,0.0008824288961477578
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,33,_nolegend_,,3.7,0.9991048746742308,0.6000000000000001,0.0008950256742537022
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,34,_nolegend_,,4.7,0.9992049108550418,0.6000000000000001,0.0007950587896630168
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,35,_nolegend_,,0.7,0.0,0.6000000000000001,-0.03315785527229309
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,36,_nolegend_,,1.7,0.0,0.6000000000000001,-0.010504868812859058
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,37,_nolegend_,,2.7,0.0,0.6000000000000001,-0.06578242033720016
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,38,_nolegend_,,3.7,0.0,0.6000000000000001,-0.033439118415117264
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,39,_nolegend_,,4.7,0.0,0.6000000000000001,-0.020179759711027145
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,40,_nolegend_,,0.7,-0.03315785527229309,0.6000000000000001,-0.020939195528626442
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,41,_nolegend_,,1.7,-0.010504868812859058,0.6000000000000001,-0.0015232404693961143
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,42,_nolegend_,,2.7,-0.06578242033720016,0.6000000000000001,-0.0762888565659523
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,43,_nolegend_,,3.7,-0.033439118415117264,0.6000000000000001,-0.01561795175075531
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,44,_nolegend_,,4.7,-0.020179759711027145,0.6000000000000001,-0.008578876033425331
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,45,_nolegend_,,0.7,-0.05409705080091953,0.6000000000000001,-0.002576639410108328
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,46,_nolegend_,,1.7,-0.012028109282255173,0.6000000000000001,-0.0028641417156904936
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,47,_nolegend_,,2.7,-0.14207127690315247,0.6000000000000001,-0.004896639380604029
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,48,_nolegend_,,3.7,-0.049057070165872574,0.6000000000000001,-0.005070629063993692
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,49,_nolegend_,,4.7,-0.028758635744452477,0.6000000000000001,-0.0030549592338502407
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,50,_nolegend_,,0.7,-0.05667369021102786,0.6000000000000001,-0.000538976164534688
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,51,_nolegend_,,1.7,-0.014892250997945666,0.6000000000000001,-0.0006811138009652495
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,52,_nolegend_,,2.7,-0.1469679162837565,0.6000000000000001,-0.0006916740676388144
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,53,_nolegend_,,3.7,-0.054127699229866266,0.6000000000000001,-0.000776127795688808
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,54,_nolegend_,,4.7,-0.03181359497830272,0.6000000000000001,-0.0004932773299515247
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,55,_nolegend_,,0.7,-0.05721266637556255,0.6000000000000001,-0.8398172855377197
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,56,_nolegend_,,1.7,-0.015573364798910916,0.6000000000000001,-0.9750483632087708
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,57,_nolegend_,,2.7,-0.1476595903513953,0.6000000000000001,-0.7519885897636414
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,58,_nolegend_,,3.7,-0.054903827025555074,0.6000000000000001,-0.8943443894386292
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,59,_nolegend_,,4.7,-0.03230687230825424,0.6000000000000001,-0.9464325308799744
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,60,_nolegend_,,0.7,-0.8970299519132823,0.6000000000000001,-0.09968269616365433
0,Emotion public vs OTR --- policy director (no stance),Debate turn,probability,rectilinear,patch,61,_nolegend_,,1.7,-0.9906217280076817,0.6000000000000001,-0.007788562681525946
