panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y,width,height
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,line,0,_child70,0.0,0.0,0.0,,
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,line,0,_child70,1.0,1.0,0.0,,
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,0,_nolegend_,,0.7,0.0,0.6000000000000001,0.011146447621285915
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,1,_nolegend_,,1.7,0.0,0.6000000000000001,0.005513552110642195
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,2,_nolegend_,,2.7,0.0,0.6000000000000001,0.004654230549931526
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,3,_nolegend_,,3.7,0.0,0.6000000000000001,0.005266733467578888
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,4,_nolegend_,,4.7,0.0,0.6000000000000001,0.0029910109005868435
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,5,_nolegend_,,0.7,0.011146447621285915,0.6000000000000001,0.0028359685093164444
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,6,_nolegend_,,1.7,0.005513552110642195,0.6000000000000001,0.001496056211180985
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,7,_nolegend_,,2.7,0.004654230549931526,0.6000000000000001,0.0027987465728074312
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,8,_nolegend_,,3.7,0.005266733467578888,0.6000000000000001,0.003389900317415595
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,9,_nolegend_,,4.7,0.0029910109005868435,0.6000000000000001,0.0019938130863010883
0,Emotion public vs OTR --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,10,_nolegend_,,0.7,0.01398241613060236,0.6000000000000001,0.0033912721555680037
