panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,0,public,0,0.0,0.29066532850265503
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,0,public,1,1.0471975511965976,0.0512690395116806
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,0,public,2,2.0943951023931953,0.027907811105251312
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,0,public,3,3.141592653589793,0.002142577199265361
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,0,public,4,4.1887902047863905,0.21302422881126404
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,0,public,5,5.235987755982988,0.0061231954023242
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,0,public,6,0.0,0.29066532850265503
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,1,OTR,0,0.0,0.10961171239614487
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,1,OTR,1,1.0471975511965976,0.06312839686870575
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,1,OTR,2,2.0943951023931953,0.0054021477699279785
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,1,OTR,3,3.141592653589793,0.0006014215759932995
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,1,OTR,4,4.1887902047863905,0.09306937456130981
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,1,OTR,5,5.235987755982988,0.003788227681070566
0,"policy director -- turn 1
neutral: pub=0.41, otr=0.72",,,polar,line,1,OTR,6,0.0,0.10961171239614487
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,0,public,0,0.0,0.10907503962516785
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,0,public,1,1.0471975511965976,0.012804840691387653
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,0,public,2,2.0943951023931953,0.012583395466208458
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,0,public,3,3.141592653589793,0.0011533431243151426
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,0,public,4,4.1887902047863905,0.05087760463356972
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,0,public,5,5.235987755982988,0.003196231322363019
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,0,public,6,0.0,0.10907503962516785
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,1,OTR,0,0.0,0.32870641350746155
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,1,OTR,1,1.0471975511965976,0.03266642242670059
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,1,OTR,2,2.0943951023931953,0.008136916905641556
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,1,OTR,3,3.141592653589793,0.0014222337631508708
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,1,OTR,4,4.1887902047863905,0.3806743323802948
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,1,OTR,5,5.235987755982988,0.006475129630416632
1,"policy director -- turn 2
neutral: pub=0.81, otr=0.24",,,polar,line,1,OTR,6,0.0,0.32870641350746155
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,0,public,0,0.0,0.08863956481218338
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,0,public,1,1.0471975511965976,0.007552576716989279
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,0,public,2,2.0943951023931953,0.011177062056958675
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,0,public,3,3.141592653589793,0.0010340464068576694
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,0,public,4,4.1887902047863905,0.0330900214612484
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,0,public,5,5.235987755982988,0.0024035226088017225
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,0,public,6,0.0,0.08863956481218338
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,1,OTR,0,0.0,0.11081459373235703
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,1,OTR,1,1.0471975511965976,0.08853040635585785
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,1,OTR,2,2.0943951023931953,0.018327688798308372
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,1,OTR,3,3.141592653589793,0.0014890964375808835
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,1,OTR,4,4.1887902047863905,0.11500191688537598
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,1,OTR,5,5.235987755982988,0.00506475567817688
2,"policy director -- turn 3
neutral: pub=0.86, otr=0.66",,,polar,line,1,OTR,6,0.0,0.11081459373235703
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,0,0.0,0.10917247086763382
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,1,1.0471975511965976,0.00957550946623087
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,2,2.0943951023931953,0.009166008792817593
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,3,3.141592653589793,0.0008736511808820069
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,4,4.1887902047863905,0.027283674106001854
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,5,5.235987755982988,0.0020545232109725475
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,0,public,6,0.0,0.10917247086763382
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,0,0.0,0.21289663016796112
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,1,1.0471975511965976,0.024190368130803108
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,2,2.0943951023931953,0.007120226044207811
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,3,3.141592653589793,0.0012068863725289702
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,4,4.1887902047863905,0.13777782022953033
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,5,5.235987755982988,0.00603028479963541
3,"policy director -- turn 4
neutral: pub=0.84, otr=0.61",,,polar,line,1,OTR,6,0.0,0.21289663016796112
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,0,0.0,0.12952828407287598
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,1,1.0471975511965976,0.010206544771790504
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,2,2.0943951023931953,0.012517387047410011
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,3,3.141592653589793,0.0013310565846040845
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,4,4.1887902047863905,0.0559471994638443
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,5,5.235987755982988,0.002893337979912758
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,0,public,6,0.0,0.12952828407287598
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,0,0.0,0.12973377108573914
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,1,1.0471975511965976,0.04150887206196785
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,2,2.0943951023931953,0.040071651339530945
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,3,3.141592653589793,0.004699122626334429
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,4,4.1887902047863905,0.10776353627443314
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,5,5.235987755982988,0.00514357490465045
4,"policy director -- turn 5
neutral: pub=0.79, otr=0.67",,,polar,line,1,OTR,6,0.0,0.12973377108573914
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,0,0.0,0.08265703171491623
5,"coalition chair -- turn 1
neutral: pub=0.64, otr=0.64",,,polar,line,0,public,1,1.0471975511965976,0.07628067582845688
