panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,0,1,0.5614089369773865
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,1,2,0.6256981492042542
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,2,3,0.5491910576820374
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,3,4,0.44178611040115356
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,4,5,0.5786239504814148
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,0,1,0.8076476454734802
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,1,2,0.6112485527992249
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,2,3,0.810145914554596
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,3,4,0.8444889783859253
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,4,5,0.7002960443496704
