panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,0,_child0,0,1,0.5208141207695007
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,0,_child0,1,2,0.5651156902313232
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,0,_child0,2,3,0.5031733512878418
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,0,_child0,3,4,0.30418288707733154
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,0,_child0,4,5,0.5595079064369202
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,1,_child1,0,1,0.7215946316719055
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,1,_child1,1,2,0.3959886431694031
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,1,_child1,2,3,0.7615107893943787
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,1,_child1,3,4,0.7820625305175781
0,Cosine self{-}consistency (no stance),Debate turn,cos similarity,rectilinear,line,1,_child1,4,5,0.5988878607749939
