panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,0,1,0.7260169982910156
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,1,2,0.5318604707717896
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,2,3,0.7558276653289795
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,3,4,0.5160958766937256
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,0,_child0,4,5,0.553734540939331
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,0,1,0.901978611946106
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,1,2,0.77424156665802
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,2,3,0.787170946598053
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,3,4,0.7662902474403381
0,Cosine self{-}consistency,Debate turn,cos similarity,rectilinear,line,1,_child1,4,5,0.7855255603790283
