panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,x,y,width,height
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,0,_nolegend_,0.7,0.0,0.6000000000000001,0.4274306691950187
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,1,_nolegend_,1.7,0.0,0.6000000000000001,0.00562646915204823
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,2,_nolegend_,2.7,0.0,0.6000000000000001,0.0023915987694635987
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,3,_nolegend_,3.7,0.0,0.6000000000000001,0.00038869946729391813
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,4,_nolegend_,4.7,0.0,0.6000000000000001,0.0009370759507874027
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,5,_nolegend_,0.7,0.4274306691950187,0.6000000000000001,0.5722420886158943
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,6,_nolegend_,1.7,0.00562646915204823,0.6000000000000001,0.9821090400218964
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,7,_nolegend_,2.7,0.0023915987694635987,0.6000000000000001,0.2758487709797919
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,8,_nolegend_,3.7,0.00038869946729391813,0.6000000000000001,0.004473005305044353
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,9,_nolegend_,4.7,0.0009370759507874027,0.6000000000000001,0.027302206377498806
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,10,_nolegend_,0.7,0.999672757810913,0.6000000000000001,0.000327292233123444
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,11,_nolegend_,1.7,0.9877355091739446,0.6000000000000001,0.012264441582374275
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,12,_nolegend_,2.7,0.2782403697492555,0.6000000000000001,0.7217595875263214
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,13,_nolegend_,3.7,0.004861704772338271,0.6000000000000001,0.9951382875442505
0,NLI self{-}consistency --- mid{-}level manager (no stance),Debate turn,probability,rectilinear,patch,14,_nolegend_,4.7,0.028239282328286208,0.6000000000000001,0.9717607498168945
