panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,point_index,x,y
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,0,_child80,0,0.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,0,_child80,1,0.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,1,_child81,0,1.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,1,_child81,1,1.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,2,_child82,0,2.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,2,_child82,1,2.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,3,_child83,0,3.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,3,_child83,1,3.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,4,_child84,0,4.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,4,_child84,1,4.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,5,_child85,0,5.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,5,_child85,1,5.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,6,_child86,0,6.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,6,_child86,1,6.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,7,_child87,0,7.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,7,_child87,1,7.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,8,_child88,0,8.5,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,line,8,_child88,1,8.5,1.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,0,_child0,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,1,_child1,0,-0.2,0.7505316320061683
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,2,_child2,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,3,_child3,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,4,_child4,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,5,_child5,0,0.2,0.7476784865061442
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,6,_child6,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,7,_child7,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,8,_child8,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,9,_child9,0,0.8,0.756174067556858
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,10,_child10,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,11,_child11,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,12,_child12,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,13,_child13,0,1.2,0.7309281655152639
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,14,_child14,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,15,_child15,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,16,_child16,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,17,_child17,0,1.8,0.7542867451906204
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,18,_child18,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,19,_child19,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,20,_child20,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,21,_child21,0,2.2,0.7132377900679906
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,22,_child22,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,23,_child23,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,24,_child24,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,25,_child25,0,2.8,0.8376973833640416
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,26,_child26,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,27,_child27,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,28,_child28,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,29,_child29,0,3.2,0.8100745558738709
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,30,_child30,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,31,_child31,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,32,_child32,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,33,_child33,0,3.8,0.8392804984251658
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,34,_child34,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,35,_child35,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,36,_child36,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,37,_child37,0,4.2,0.8393316316604614
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,38,_child38,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,39,_child39,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,40,_child40,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,41,_child41,0,4.8,0.7734389768044154
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,42,_child42,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,43,_child43,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,44,_child44,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,45,_child45,0,5.2,0.7546365784605344
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,46,_child46,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,47,_child47,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,48,_child48,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,49,_child49,0,5.8,0.8050477864344915
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,50,_child50,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,51,_child51,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,52,_child52,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,53,_child53,0,6.2,0.7424311769008637
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,54,_child54,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,55,_child55,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,56,_child56,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,57,_child57,0,6.8,0.8326745671033859
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,58,_child58,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,59,_child59,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,60,_child60,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,61,_child61,0,7.2,0.7830937761068344
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,62,_child62,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,63,_child63,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,64,_child64,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,65,_child65,0,7.8,0.7785822137196858
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,66,_child66,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,67,_child67,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,68,_child68,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,69,_child69,0,8.2,0.8005102157592774
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,70,_child70,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,71,_child71,0,0.0,0.0
0,Absolute cosine distributions by model and incentive direction,Model,Cosine similarity,rectilinear,collection,72,_child72,0,0.0,0.0
