agent,model,model_raw,direction,direction_label,model_baseline_mean,mean_minus_baseline,n,mean,std,median,q1,q3,iqr,min,max,p10,p90,whisker_low,whisker_high
beta,Claude Opus 4.6,anthropic/claude-opus-4.6,negative,persona-reinforcing (negative),0.763133815129598,-0.009797299106915847,150,0.7533365160226821,0.09287911422376459,0.7666230201721191,0.7010917961597443,0.8238036930561066,0.1227118968963623,0.41603878140449524,0.9305369853973389,0.6258233487606049,0.8581615090370178,0.5240027904510498,0.9305369853973389
beta,Claude Opus 4.6,anthropic/claude-opus-4.6,positive,alignment-inducing (positive),0.763133815129598,0.0005438141028085708,150,0.7636776292324066,0.08816281552759388,0.77430459856987,0.722767636179924,0.8290812969207764,0.10631366074085236,0.43059325218200684,0.9619367122650146,0.6439005196094513,0.8613498985767365,0.5672007203102112,0.9619367122650146
beta,DeepSeek V3.2,deepseek/deepseek-v3.2,negative,persona-reinforcing (negative),0.777800330320994,-0.0029861692587535016,150,0.7748141610622405,0.07598792775369409,0.7815396189689636,0.7232189178466797,0.8333906531333923,0.11017173528671265,0.5391663908958435,0.9237810373306274,0.6803826987743378,0.8602410793304442,0.5967667102813721,0.9237810373306274
beta,DeepSeek V3.2,deepseek/deepseek-v3.2,positive,alignment-inducing (positive),0.777800330320994,-0.002981621424357095,150,0.774818708896637,0.06918861824529235,0.776602566242218,0.7263377606868744,0.8214132785797119,0.09507551789283752,0.5956612229347229,0.9452489614486694,0.6869144797325134,0.8594281673431396,0.5956612229347229,0.9452489614486694
beta,GLM-5,z-ai/glm-5,negative,persona-reinforcing (negative),0.7494313704967499,0.006018990278244041,150,0.755450360774994,0.09668860472947959,0.7645830512046814,0.7015035003423691,0.8217260837554932,0.12022258341312408,0.44641435146331787,0.9631253480911255,0.6198514342308045,0.86946981549263,0.5221142172813416,0.9631253480911255
beta,GLM-5,z-ai/glm-5,positive,alignment-inducing (positive),0.7494313704967499,0.016475610733032164,150,0.7659069812297821,0.07266375813355398,0.7644261121749878,0.720624253153801,0.8122114092111588,0.09158715605735779,0.5647594332695007,0.9760791063308716,0.6783187389373779,0.8620060265064239,0.5896887183189392,0.9163219928741455
beta,GPT-5.4,openai/gpt-5.4,negative,persona-reinforcing (negative),0.854490913550059,-0.012322403987248709,150,0.8421685095628103,0.08284088361121113,0.8624224662780762,0.8028199821710587,0.9022737443447113,0.09945376217365265,0.534479022026062,0.9615606069564819,0.7349109470844268,0.9262136578559875,0.6571027040481567,0.9615606069564819
beta,GPT-5.4,openai/gpt-5.4,positive,alignment-inducing (positive),0.854490913550059,-0.012959154446919752,150,0.8415317591031393,0.07157185311724976,0.8514803946018219,0.8054774105548859,0.8998749703168869,0.09439755976200104,0.5733383893966675,0.9524620771408081,0.7540596187114715,0.9196183383464813,0.6669046878814697,0.9524620771408081
beta,GPT-OSS-120B,openai/gpt-oss-120b,negative,persona-reinforcing (negative),0.8660144790013631,-0.026216576894124266,150,0.8397979021072388,0.09054861267022933,0.8558089733123779,0.8185487240552902,0.8899245858192444,0.07137586176395416,0.5135717988014221,0.9816075563430786,0.7432738959789276,0.9308237373828888,0.7381525039672852,0.9816075563430786
beta,GPT-OSS-120B,openai/gpt-oss-120b,positive,alignment-inducing (positive),0.8660144790013631,-0.021513880491256687,150,0.8445005985101064,0.0925639032079826,0.8651857376098633,0.823293536901474,0.9003294408321381,0.07703590393066406,0.4918777346611023,0.9868568181991577,0.7541135489940644,0.9223484039306641,0.721350908279419,0.9868568181991577
beta,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,negative,persona-reinforcing (negative),0.7700003083546957,0.01685511112213134,150,0.786855419476827,0.0585860399422282,0.7867097854614258,0.7495567798614502,0.8239686787128448,0.07441189885139465,0.6343885064125061,0.9480171203613281,0.7114649713039398,0.861268675327301,0.6416513919830322,0.9258174896240234
beta,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,positive,alignment-inducing (positive),0.7700003083546957,0.010032372872034623,150,0.7800326812267303,0.06923865619394598,0.785709023475647,0.7322497665882111,0.8310713618993759,0.09882159531116486,0.5601851940155029,0.9340789914131165,0.696348774433136,0.860465121269226,0.6034198999404907,0.9340789914131165
beta,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,negative,persona-reinforcing (negative),0.83215496301651,-0.027026389439900766,150,0.8051285735766093,0.06584758741838982,0.8099359571933746,0.7597977072000504,0.8614443093538284,0.10164660215377808,0.6090975403785706,0.9478887319564819,0.7208698451519012,0.8828860521316528,0.6090975403785706,0.9478887319564819
beta,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,positive,alignment-inducing (positive),0.83215496301651,-0.02951166431109109,150,0.802643298705419,0.06404341753990339,0.8070971965789795,0.7607681006193161,0.853975921869278,0.09320782124996185,0.5987937450408936,0.9160386919975281,0.7277044296264649,0.8788722157478333,0.6351302266120911,0.9160386919975281
beta,Grok 4,x-ai/grok-4,negative,persona-reinforcing (negative),0.8538457504908243,-0.007894484202067065,150,0.8459512662887573,0.061198341288156696,0.8533490300178528,0.8042043745517731,0.8863714933395386,0.0821671187877655,0.6905586123466492,0.9805029630661011,0.7595984995365143,0.9214690029621124,0.6905586123466492,0.9805029630661011
beta,Grok 4,x-ai/grok-4,positive,alignment-inducing (positive),0.8538457504908243,-0.019854026635487854,150,0.8339917238553365,0.0620317737424003,0.837881863117218,0.8032333105802536,0.8769325464963913,0.0736992359161377,0.6488086581230164,0.9711167216300964,0.7444594502449036,0.906062912940979,0.6969404220581055,0.9711167216300964
beta,MiniMax M2.7,minimax/minimax-m2.7,negative,persona-reinforcing (negative),0.8021623627344767,-0.03580149888992312,150,0.7663608638445536,0.10060941084137755,0.7954373955726624,0.7135643064975739,0.8376969695091248,0.1241326630115509,0.5027259588241577,0.9364088773727417,0.6044682264328003,0.8697941541671753,0.5325384736061096,0.9364088773727417
beta,MiniMax M2.7,minimax/minimax-m2.7,positive,alignment-inducing (positive),0.8021623627344767,0.00721191525459286,150,0.8093742779890696,0.06913017631772236,0.8106022775173187,0.765423908829689,0.8619672656059265,0.09654335677623749,0.594940185546875,0.9522137641906738,0.7216227531433106,0.8950675964355469,0.6410629749298096,0.9522137641906738
beta,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,negative,persona-reinforcing (negative),0.815809580485026,-0.026997626821200105,150,0.788811953663826,0.07513449927554212,0.7941608130931854,0.7501843720674515,0.8413650095462799,0.09118063747882843,0.44801560044288635,0.9413936138153076,0.6998617827892304,0.8815421879291534,0.6219373345375061,0.9413936138153076
beta,Qwen 3.5 397B,qwen/qwen3.5-397b-a17b,positive,alignment-inducing (positive),0.815809580485026,-0.032545112768809004,150,0.783264467716217,0.0715644807894084,0.7838452458381653,0.7324982434511185,0.8391980528831482,0.10669980943202972,0.605806827545166,0.961746096611023,0.6900550603866578,0.8654473602771758,0.605806827545166,0.961746096611023
