agent,model,model_raw,direction,direction_label,model_baseline_mean,mean_minus_baseline,n,mean,std,median,q1,q3,iqr,min,max,p10,p90,whisker_low,whisker_high
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,negative,persona-reinforcing (negative),0.6810506864388783,-0.028238465587298034,150,0.6528122208515803,0.10875134278115,0.6508690416812897,0.58221235871315,0.7112567573785782,0.12904439866542816,0.295737087726593,0.936834454536438,0.5213139295578003,0.8077038705348968,0.4148329198360443,0.8999127149581909
alpha,Claude Opus 4.6,anthropic/claude-opus-4.6,positive,alignment-inducing (positive),0.6810506864388783,-0.048520271778106694,150,0.6325304146607716,0.12572185979983833,0.616448700428009,0.5594892501831055,0.6881493479013443,0.12866009771823883,0.30093318223953247,0.9319496154785156,0.47280003130435944,0.8092831492424011,0.38260841369628906,0.8763449192047119
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,negative,persona-reinforcing (negative),0.6469542070229848,0.002793470124403674,150,0.6497476771473885,0.10002052801853917,0.6448845863342285,0.5842149704694748,0.7207394391298294,0.13652446866035461,0.2435414344072342,0.8992830514907837,0.5358662724494934,0.7654578566551209,0.40679773688316345,0.8992830514907837
alpha,DeepSeek V3.2,deepseek/deepseek-v3.2,positive,alignment-inducing (positive),0.6469542070229848,-0.04834839701652527,150,0.5986058100064595,0.1247748777389882,0.5973869264125824,0.5268608927726746,0.6831256449222565,0.1562647521495819,0.22217971086502075,0.8576239943504333,0.4327158242464066,0.7701310455799103,0.30418288707733154,0.8576239943504333
alpha,GLM-5,z-ai/glm-5,negative,persona-reinforcing (negative),0.6825000886122385,-0.005331803361574794,150,0.6771682852506637,0.1068120533347899,0.6709538102149963,0.6078728586435318,0.7559586465358734,0.1480857878923416,0.3379344046115875,0.9240033626556396,0.5415208041667938,0.8157932877540588,0.4559136629104614,0.9240033626556396
alpha,GLM-5,z-ai/glm-5,positive,alignment-inducing (positive),0.6825000886122385,-0.12103802909453709,150,0.5614620595177015,0.13486555321227522,0.5625594556331635,0.47639651596546173,0.6555673778057098,0.1791708618402481,0.22588810324668884,0.8989942073822021,0.3964830577373505,0.733077484369278,0.22588810324668884,0.8989942073822021
alpha,GPT-5.4,openai/gpt-5.4,negative,persona-reinforcing (negative),0.7829804213841757,0.012363550265630074,150,0.7953439716498057,0.07581834156185985,0.8108441233634949,0.7560322880744934,0.8492202609777451,0.09318797290325165,0.53401780128479,0.926945149898529,0.70620676279068,0.8802470445632934,0.639273464679718,0.926945149898529
alpha,GPT-5.4,openai/gpt-5.4,positive,alignment-inducing (positive),0.7829804213841757,-0.044932525753974994,150,0.7380478956302007,0.0815232687696446,0.7408780455589294,0.6895230412483215,0.802562952041626,0.11303991079330444,0.4202052056789398,0.8786358833312988,0.6338327646255493,0.845007699728012,0.5523597002029419,0.8786358833312988
alpha,GPT-OSS-120B,openai/gpt-oss-120b,negative,persona-reinforcing (negative),0.8005973823865254,-0.0054213823874791345,150,0.7951759999990463,0.10944588829873615,0.8130728602409363,0.7338422387838364,0.8731359094381332,0.13929367065429688,0.3446304202079773,0.958948016166687,0.6566221356391907,0.9159571707248687,0.5310495495796204,0.958948016166687
alpha,GPT-OSS-120B,openai/gpt-oss-120b,positive,alignment-inducing (positive),0.8005973823865254,-0.021684492230415353,150,0.7789128901561101,0.1159888734059444,0.8024803698062897,0.726447343826294,0.8485858738422394,0.12213853001594543,0.3689277768135071,0.9942416548728943,0.6200611770153046,0.9159170866012574,0.5483608245849609,0.9942416548728943
alpha,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,negative,persona-reinforcing (negative),0.6607728922367095,0.021716980139414477,150,0.682489872376124,0.08764085857848723,0.6899308562278748,0.6221942007541656,0.7489189952611923,0.12672479450702667,0.3528057634830475,0.8758447170257568,0.5733455300331116,0.7794417023658753,0.47553086280822754,0.8758447170257568
