agent,model,model_raw,direction,direction_label,model_baseline_mean,mean_minus_baseline,n,mean,std,median,q1,q3,iqr,min,max,p10,p90,whisker_low,whisker_high
beta,Claude Opus 4.6,anthropic/claude-opus-4.6,negative,persona-reinforcing (negative),0.6849447671572367,-0.003582528233528115,150,0.6813622389237086,0.09667962163019347,0.693992406129837,0.6188767105340958,0.7527696788311005,0.1338929682970047,0.35171011090278625,0.9016180634498596,0.5593583941459656,0.787114006280899,0.4534972310066223,0.9016180634498596
beta,Claude Opus 4.6,anthropic/claude-opus-4.6,positive,alignment-inducing (positive),0.6849447671572367,-0.021029001673062653,150,0.6639157654841741,0.1172183188396945,0.683742105960846,0.592076987028122,0.7470191568136215,0.15494216978549957,0.25328367948532104,0.9037624001502991,0.5250108659267425,0.7922109067440033,0.37998640537261963,0.9037624001502991
beta,DeepSeek V3.2,deepseek/deepseek-v3.2,negative,persona-reinforcing (negative),0.6754972696304321,0.0033933671315511393,150,0.6788906367619832,0.09696564364954402,0.6817282438278198,0.6281886547803879,0.7422268986701965,0.11403824388980865,0.3237035274505615,0.8653175234794617,0.5613468766212464,0.795477271080017,0.4775144159793854,0.8653175234794617
beta,DeepSeek V3.2,deepseek/deepseek-v3.2,positive,alignment-inducing (positive),0.6754972696304321,0.009228192170461003,150,0.6847254618008931,0.09896220917844914,0.6884907186031342,0.6179592311382294,0.7525117695331573,0.13455253839492798,0.3959886431694031,0.8998267650604248,0.5714774072170258,0.8020643949508667,0.4199627637863159,0.8998267650604248
beta,GLM-5,z-ai/glm-5,negative,persona-reinforcing (negative),0.642342054049174,0.029220365881919896,150,0.6715624199310939,0.1126746486981254,0.678635984659195,0.5995773375034332,0.7480450868606567,0.1484677493572235,0.3685743808746338,0.9294832944869995,0.5278421103954315,0.819848608970642,0.3939303755760193,0.9294832944869995
beta,GLM-5,z-ai/glm-5,positive,alignment-inducing (positive),0.642342054049174,0.028724746108055088,150,0.6710668001572291,0.09602901281147899,0.6705185174942017,0.6127059608697891,0.7250020056962967,0.11229604482650757,0.440652996301651,0.9472885131835938,0.5523972570896148,0.7927016079425812,0.4534022808074951,0.8784804344177246
beta,GPT-5.4,openai/gpt-5.4,negative,persona-reinforcing (negative),0.8020576922098795,-0.003347942829132089,150,0.7987097493807475,0.08364122727712832,0.8170017600059509,0.7490112036466599,0.8626096546649933,0.11359845101833344,0.5195030570030212,0.9339279532432556,0.6767596960067749,0.8911495208740234,0.5829903483390808,0.9339279532432556
beta,GPT-5.4,openai/gpt-5.4,positive,alignment-inducing (positive),0.8020576922098795,-0.017543399731318132,150,0.7845142924785614,0.07749858523967687,0.7936534583568573,0.7319368422031403,0.8414216637611389,0.10948482155799866,0.6001456379890442,0.9343359470367432,0.6817415118217468,0.8822620213031769,0.6001456379890442,0.9343359470367432
beta,GPT-OSS-120B,openai/gpt-oss-120b,negative,persona-reinforcing (negative),0.8060795752207438,-0.025455080866813695,150,0.7806244943539301,0.11179066476447548,0.7938344776630402,0.740794911980629,0.8562152832746506,0.1154203712940216,0.42353010177612305,0.9782431125640869,0.6388143837451935,0.8996372759342194,0.6039018630981445,0.9782431125640869
beta,GPT-OSS-120B,openai/gpt-oss-120b,positive,alignment-inducing (positive),0.8060795752207438,-0.027848612467447853,150,0.778230962753296,0.1169215422642559,0.8082171976566315,0.7329249978065491,0.8511306643486023,0.11820566654205322,0.3675735592842102,0.9768052697181702,0.6469154119491577,0.8910008370876312,0.556439220905304,0.9768052697181702
beta,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,negative,persona-reinforcing (negative),0.684914341767629,0.028898780345916752,150,0.7138131221135458,0.07835572438340122,0.7248792052268982,0.6631650328636169,0.7663882225751877,0.10322318971157074,0.5328772664070129,0.9197973608970642,0.6016238033771515,0.8044346034526825,0.5328772664070129,0.9197973608970642
beta,Gemini 3.1 Flash-Lite,google/gemini-3.1-flash-lite-preview,positive,alignment-inducing (positive),0.684914341767629,0.008595702846844966,150,0.693510044614474,0.10228664897820833,0.7068782448768616,0.6327550262212753,0.7584004551172256,0.12564542889595032,0.43020954728126526,0.9146257638931274,0.5461954951286316,0.8182536125183105,0.451219767332077,0.9146257638931274
beta,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,negative,persona-reinforcing (negative),0.778451886177063,-0.03061334689458206,150,0.7478385392824809,0.07654572603867334,0.7505915462970734,0.6910845190286636,0.811900407075882,0.12081588804721832,0.5350698232650757,0.9087862968444824,0.6617840647697448,0.8464555978775025,0.5350698232650757,0.9087862968444824
beta,Gemini 3.1 Pro,google/gemini-3.1-pro-preview,positive,alignment-inducing (positive),0.778451886177063,-0.036926942865053825,150,0.7415249433120091,0.07739184929459408,0.745707631111145,0.6963664293289185,0.7983297854661942,0.1019633561372757,0.48451563715934753,0.882879376411438,0.6496243000030517,0.8333619654178619,0.5663480758666992,0.882879376411438
beta,Grok 4,x-ai/grok-4,negative,persona-reinforcing (negative),0.8097139771779378,-0.009567127625147442,150,0.8001468495527904,0.07333327628029451,0.8050142824649811,0.7502287477254868,0.8538407534360886,0.1036120057106018,0.6173318028450012,0.9731486439704895,0.7024517178535461,0.88215491771698,0.6173318028450012,0.9731486439704895
