model,n_negative,n_positive,mean_negative,mean_negative_ci_lo,mean_negative_ci_hi,mean_positive,mean_positive_ci_lo,mean_positive_ci_hi,pct_negative_gt1,pct_positive_gt1,delta_neg_minus_pos,delta_ci_lo,delta_ci_hi,supports_expectation
Claude Opus 4.6,300,300,0.9803175101269062,0.9665507752635081,0.9942531273064238,0.9767311540173449,0.9626937028707246,0.9900955885578147,0.4533333333333333,0.4633333333333333,0.0035863561095612617,-0.016146732608519558,0.02374996140597834,False
DeepSeek V3.2,300,300,1.0063681518705931,0.9945650858683789,1.01776568091602,0.9731712366962315,0.9570609234738893,0.9888098347587803,0.5333333333333333,0.4866666666666667,0.03319691517436163,0.013563533542980108,0.053284567657509975,True
GLM-5,300,300,1.007910304263044,0.9937380054489282,1.0219161736718827,0.9527389497498088,0.9365247988818567,0.967900931749154,0.5533333333333333,0.4033333333333333,0.05517135451323518,0.033650715892458535,0.07717643889665476,True
GPT-5.4,300,300,1.001379868732735,0.9918971308584424,1.0108927403515808,0.9702992507160204,0.9586692468863296,0.9813939677374548,0.6066666666666667,0.4166666666666667,0.03108061801671469,0.01634828541451931,0.0459050598712503,True
GPT-OSS-120B,300,300,0.9839483196777553,0.9705012698454172,0.9960680189883202,0.9838731795263957,0.9713585354393496,0.9958490893808891,0.54,0.5766666666666667,7.514015135956509e-05,-0.01777779027849437,0.018293261154670705,False
Gemini 3.1 Flash-Lite,300,300,1.0188532769791971,1.0085792524473,1.028912769273211,0.9942916172791918,0.981564558314798,1.0068648172372399,0.6033333333333334,0.5366666666666666,0.024561659700005345,0.007601409098478418,0.040662438498046856,True
Gemini 3.1 Pro,300,300,0.9786105558814207,0.9693395804718644,0.9879489565026955,0.9025113985008995,0.8894028018593154,0.9154156239542726,0.44666666666666666,0.23333333333333334,0.0760991573805212,0.059691235917921456,0.09195131828637718,False
Grok 4,300,300,0.9903579502399399,0.9808430267434256,0.9995202807154672,0.931450058466898,0.9193163083225895,0.9432983866329958,0.48333333333333334,0.2866666666666667,0.0589078917730419,0.043299282254213006,0.07337114673836644,False
MiniMax M2.7,300,300,0.9701380004908007,0.9570754412030912,0.9824493729972917,0.9977240511270118,0.9864856819085803,1.0091415796215288,0.47,0.52,-0.027586050636211112,-0.04532144314655934,-0.010392678745506565,False
Qwen 3.5 397B,300,300,0.970381670664353,0.9589462491859182,0.9812401713319644,0.93061531692202,0.9172629074583077,0.9438425646817789,0.38666666666666666,0.3233333333333333,0.03976635374233295,0.022212096839774632,0.05713950036478978,False
__OVERALL__,3000,3000,0.9908265608926746,0.9872389758844846,0.9944395517022669,0.9613406213001824,0.9571069022480038,0.9657135986448524,0.5076666666666667,0.4246666666666667,0.02948593959249224,0.02391365761895269,0.035053303161261845,False
