model_raw,model,scenario_id,direction,incentive_type,repeat,agent,turn,value,pair_baseline_mean,ratio
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,1,0.7120362520217896,0.7629551327228546,0.9332609762787172
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,2,0.559473991394043,0.7629551327228546,0.7332986795663557
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,3,0.5965272188186646,0.7629551327228546,0.7818640877213346
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,4,0.7104029059410095,0.7629551327228546,0.9311201609008182
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,alpha,5,0.6914347410202026,0.7629551327228546,0.9062587187173011
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,1,0.8266465663909912,0.7629551327228546,1.0834799202947005
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,2,0.6975163817405701,0.7629551327228546,0.9142298830224197
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,3,0.6826023459434509,0.7629551327228546,0.894682159758676
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,4,0.5739166736602783,0.7629551327228546,0.7522286030268506
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,1,beta,5,0.6667459011077881,0.7629551327228546,0.8738992275054072
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,1,0.8245862126350403,0.7629551327228546,1.0807794289190178
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,2,0.6528953909873962,0.7629551327228546,0.8557454599686953
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,3,0.6470719575881958,0.7629551327228546,0.8481127262083002
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,4,0.6494942307472229,0.7629551327228546,0.8512875828350358
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,alpha,5,0.3716607391834259,0.7629551327228546,0.48713315271506613
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,1,0.755458652973175,0.7629551327228546,0.9901744159936038
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,2,0.5087427496910095,0.7629551327228546,0.6668055929781805
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,3,0.6329976320266724,0.7629551327228546,0.829665605325458
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,4,0.8410797119140625,0.7629551327228546,1.1023973440120847
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,2,beta,5,0.6723203063011169,0.7629551327228546,0.8812055617238228
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,1,0.6909148693084717,0.7629551327228546,0.9055773264709764
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,2,0.7743282914161682,0.7629551327228546,1.014906720206108
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,3,0.5090669393539429,0.7629551327228546,0.6672305061205516
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,4,0.722190260887146,0.7629551327228546,0.9465697652623085
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,alpha,5,0.776850163936615,0.7629551327228546,1.0182121210249564
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,1,0.8032521605491638,0.7629551327228546,1.0528170348399073
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,2,0.7505068778991699,0.7629551327228546,0.9836841587535311
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,3,0.7330213189125061,0.7629551327228546,0.9607659578833686
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,4,0.8193374872207642,0.7629551327228546,1.0738999609278341
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,3,beta,5,0.7403925657272339,0.7629551327228546,0.9704273999506382
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,alpha,1,0.7103458642959595,0.7629551327228546,0.931045396812337
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,alpha,2,0.7138077020645142,0.7629551327228546,0.9355828035615387
anthropic/claude-opus-4.6,Claude Opus 4.6,faculty_manuscript_submission,negative,future,4,alpha,3,0.7465786933898926,0.7629551327228546,0.9785355145662139
