panel_index,panel_title,panel_xlabel,panel_ylabel,panel_type,layer,series_index,series_label,x,y,width,height
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,0,_nolegend_,-0.3504,0.0,0.2208,0.13817835226494934
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,1,_nolegend_,0.6496,0.0,0.2208,0.1697858547490614
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,2,_nolegend_,1.6496,0.0,0.2208,0.13445427127820342
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,3,_nolegend_,2.6496,0.0,0.2208,0.5741027938089489
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,4,_nolegend_,3.6496,0.0,0.2208,0.4660842059052084
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,5,_nolegend_,4.6495999999999995,0.0,0.2208,0.3031013149094118
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,6,_nolegend_,5.6495999999999995,0.0,0.2208,0.3741356131172021
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,7,_nolegend_,6.6495999999999995,0.0,0.2208,0.2910543583694865
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,8,_nolegend_,7.6495999999999995,0.0,0.2208,0.19811134956927465
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,9,_nolegend_,8.6496,0.0,0.2208,0.30295702170192573
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,10,_nolegend_,-0.3504,0.13817835226494934,0.2208,0.8350186996161938
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,11,_nolegend_,0.6496,0.1697858547490614,0.2208,0.809745958824642
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,12,_nolegend_,1.6496,0.13445427127820342,0.2208,0.851911516104204
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,13,_nolegend_,2.6496,0.5741027938089489,0.2208,0.4249894189617286
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,14,_nolegend_,3.6496,0.4660842059052084,0.2208,0.527610266119785
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,15,_nolegend_,4.6495999999999995,0.3031013149094118,0.2208,0.6772468552583207
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,16,_nolegend_,5.6495999999999995,0.3741356131172021,0.2208,0.6105604488022315
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,17,_nolegend_,6.6495999999999995,0.2910543583694865,0.2208,0.7072486557144051
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,18,_nolegend_,7.6495999999999995,0.19811134956927465,0.2208,0.7937587524733196
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,19,_nolegend_,8.6496,0.30295702170192573,0.2208,0.6778280233673286
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,20,_nolegend_,-0.3504,0.9731970518811431,0.2208,0.026802948439435537
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,21,_nolegend_,0.6496,0.9795318135737033,0.2208,0.020468186134433686
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,22,_nolegend_,1.6496,0.9863657873824074,0.2208,0.013634215251222437
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,23,_nolegend_,2.6496,0.9990922127706775,0.2208,0.0009077881223977791
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,24,_nolegend_,3.6496,0.9936944720249934,0.2208,0.0063055272130199125
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,25,_nolegend_,4.6495999999999995,0.9803481701677326,0.2208,0.01965182838270263
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,26,_nolegend_,5.6495999999999995,0.9846960619194336,0.2208,0.015303934573191014
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,27,_nolegend_,6.6495999999999995,0.9983030140838915,0.2208,0.0016969875234402743
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,28,_nolegend_,7.6495999999999995,0.9918701020425943,0.2208,0.008129902382643217
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,29,_nolegend_,8.6496,0.9807850450692543,0.2208,0.01921495592459299
0,NLI no-stance stacked means by model (alpha),Model,Mean probability,rectilinear,patch,30,_nolegend_,-0.1104,0.0,0.2208,0.1667933295716163
